ID,Source,Title,ObjectName,Medium,Period,Classification,ImageURL
CHI_631,Art Institute of Chicago,Inlay Depicting the Face of a King,Decorative Arts,Glass,Ptolemaic Period (332–30 BCE),Unclassified,"https://www.artic.edu/iiif/2/5bf620dd-1e2d-0ac2-b91f-7478cfad41f2/full/600,/0/default.jpg"
CHI_635,Art Institute of Chicago,Amulet of the Goddess Nephthys,Costume and Accessories,Stone,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/6863505a-5e11-7f23-e0c3-512a7f9744ed/full/600,/0/default.jpg"
CHI_596,Art Institute of Chicago,Amulet of the Goddess Isis Nursing the God Horus,Costume and Accessories,Hematite,"Third Intermediate Period, Dynasty 25 (about 747–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/11d352ec-dc80-ab36-bac3-6aa690a34017/full/600,/0/default.jpg"
CHI_632,Art Institute of Chicago,Scarab Amulet,Costume and Accessories,Hematite,"Late Period, Dynasty 26 (664-525 BCE)",Jewellery,"https://www.artic.edu/iiif/2/598f3e0c-331d-96c5-f2e9-202f924a05f6/full/600,/0/default.jpg"
CHI_633,Art Institute of Chicago,Amulet of a Reclining Cow,Costume and Accessories,Glass,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/0711c714-656e-d52a-eaa4-024205527a60/full/600,/0/default.jpg"
CHI_628,Art Institute of Chicago,Scarab Amulet,Costume and Accessories,Hematite,Ptolemaic Period (332–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/f080837c-5d78-0fa6-1ada-b1d9a4f21378/full/600,/0/default.jpg"
CHI_132068,Art Institute of Chicago,Amulet of a Heart,Costume and Accessories,Glass,"New Kingdom, Dynasty 18 (about 1550–1295 BCE)",Jewellery,"https://www.artic.edu/iiif/2/d0e18549-a133-f765-8fad-245904dcd2b1/full/600,/0/default.jpg"
CHI_127859,Art Institute of Chicago,Stela of Amenemhat and Hemet,Architectural fragment,Limestone and pigment,"Middle Kingdom, early Dynasty 12, about 1956–1877 BCE",Reliefs,"https://www.artic.edu/iiif/2/9365a024-75ce-75e9-756f-1c2c96eadec9/full/600,/0/default.jpg"
CHI_135834,Art Institute of Chicago,Amulet of Bes,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/671fea96-d620-b4dc-33dc-e9d02f2b8cd8/full/600,/0/default.jpg"
CHI_140647,Art Institute of Chicago,Nehebkau Amulet,Costume and Accessories,Gold,"Late Period, Dynasty 26–30 (664–332 BCE)",Jewellery,"https://www.artic.edu/iiif/2/7c47fc48-c549-6a65-4965-2e6aba493d74/full/600,/0/default.jpg"
CHI_630,Art Institute of Chicago,Heart Scarab,Costume and Accessories,Stone,"Third Intermediate–Late Period, Dynasty 21–26 (about 1069–664 BCE)",Jewellery,"https://www.artic.edu/iiif/2/d4c796d2-498c-8ef4-672b-1172fa0cba56/full/600,/0/default.jpg"
CHI_136093,Art Institute of Chicago,Winged Scarab Amulet,Funerary Object,Faience,"Late Period, Dynasty 26 (664–525 BCE)",Jewellery,"https://www.artic.edu/iiif/2/ca10e062-a8d2-239a-6ca5-a1ba12fa0072/full/600,/0/default.jpg"
CHI_135831,Art Institute of Chicago,Amulet of Sekhmet,Costume and Accessories,Faience,Third Intermediate Period (about 1069–664 BCE),Jewellery,"https://www.artic.edu/iiif/2/3f5e800e-777c-8feb-d07e-28f61714568c/full/600,/0/default.jpg"
CHI_454,Art Institute of Chicago,Statuette of a Seated Girl,Sculpture,terracotta,330-320 BCE,Statuary,"https://www.artic.edu/iiif/2/38ea638d-c8f7-f916-da08-ac7730b6ed5a/full/600,/0/default.jpg"
CHI_135835,Art Institute of Chicago,Amulet of Bes,Costume and Accessories,Faience,Late Period–Ptolemaic Period (664–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/46ca2bdf-9311-06d2-5cb9-b3a54735c784/full/600,/0/default.jpg"
CHI_594,Art Institute of Chicago,Ring with a Scarab Bezel,Costume and Accessories,Gold and green jasper,"Second Intermediate Period, Dynasty 15 (about 1650–1550 BCE)",Jewellery,"https://www.artic.edu/iiif/2/d9067d6e-e133-705c-cf53-528c035a5201/full/600,/0/default.jpg"
CHI_135838,Art Institute of Chicago,Amulet of Sekhmet,Costume and Accessories,Faience,Third Intermediate Period (about 1069–664 BCE),Jewellery,"https://www.artic.edu/iiif/2/980ff5b7-751a-8358-1edd-19f56c7b3c7f/full/600,/0/default.jpg"
CHI_616,Art Institute of Chicago,Pyxis (Container for Personal Objects),Vessel,"terracotta, red-figure",430-420 BCE,Statuary,"https://www.artic.edu/iiif/2/aeb6ae53-78e6-b76d-1993-dd108da55710/full/600,/0/default.jpg"
CHI_158,Art Institute of Chicago,Pelike (Storage Jar),Vessel,"terracotta, black-figure with applied paint",about 510-500 BCE,Statuary,"https://www.artic.edu/iiif/2/48d485ec-6102-b7ec-062c-8b351055ca5f/full/600,/0/default.jpg"
CHI_136258,Art Institute of Chicago,Amulet of an Ankh,Costume and Accessories,Low-fired earthenware or stucco,Third Intermediate Period–Late Period (1070–332 BCE),Jewellery,"https://www.artic.edu/iiif/2/0a74394f-fe11-6f11-bd5d-8e46df76031c/full/600,/0/default.jpg"
CHI_614,Art Institute of Chicago,Amphoriskos (Container for Oil),Vessel,"terracotta, black-figure",600-575 BCE,Statuary,"https://www.artic.edu/iiif/2/36a3f0f7-9bda-2c93-fee8-7c264d5ce01f/full/600,/0/default.jpg"
CHI_164,Art Institute of Chicago,Column-Krater (Mixing Bowl),Vessel,"terracotta, red-figure",about 460 BCE,Statuary,"https://www.artic.edu/iiif/2/f7c96efa-2b60-565e-3b03-a3acf7f79ea9/full/600,/0/default.jpg"
CHI_191,Art Institute of Chicago,Mug,Vessel,"terracotta, black-glaze",about 460 BCE,Pottery,"https://www.artic.edu/iiif/2/e47ce711-82da-5bfa-21e6-37b65b7170df/full/600,/0/default.jpg"
CHI_135985,Art Institute of Chicago,Amulet of Thoth,Costume and Accessories,Faience,Ptolemaic Period (332–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/eb421671-1fbc-d2bc-267f-6e77d76863d1/full/600,/0/default.jpg"
CHI_161,Art Institute of Chicago,Skyphos (Drinking Cup),Vessel,"terracotta, black-glaze with impressed decoration",410-400 BCE,Pottery,"https://www.artic.edu/iiif/2/1bc27523-6b27-d9b1-4ea0-ec436d6fd95e/full/600,/0/default.jpg"
CHI_135862,Art Institute of Chicago,Tyet (Isis Knot) Amulet,Costume and Accessories,Faience,"Late Period, Dynasty 26 (664–525 BCE)",Jewellery,"https://www.artic.edu/iiif/2/73d71d39-e4b7-1217-d5fc-bc9cce6d6375/full/600,/0/default.jpg"
CHI_160,Art Institute of Chicago,Pyxis (Container for Personal Objects),Vessel,"terracotta, black-figure",late 6th century BCE,Statuary,"https://www.artic.edu/iiif/2/e0db998b-5586-aa1f-e2cd-913904656247/full/600,/0/default.jpg"
CHI_9687,Art Institute of Chicago,Tetradrachm (Coin) Portraying King Ptolemy I,Coin,Silver,"253-252 BCE, reign of Ptolemy II (285–247 BCE)",Unclassified,"https://www.artic.edu/iiif/2/63765ec8-f950-44a2-d676-db021b7ee2cc/full/600,/0/default.jpg"
CHI_182,Art Institute of Chicago,Kantharos (Wine Cup),Vessel,"terracotta, Late Gnathia ware",300-275 BCE,Pottery,"https://www.artic.edu/iiif/2/90bc1535-b488-3c52-886f-d0cc703c7778/full/600,/0/default.jpg"
CHI_256,Art Institute of Chicago,Lekanis (Covered Dish),Vessel,"terracotta, black-glaze",450-430 BCE,Pottery,"https://www.artic.edu/iiif/2/9c85ae53-d689-1f55-4abe-d9b709b4a94f/full/600,/0/default.jpg"
CHI_162,Art Institute of Chicago,Hydria (Water Jar),Vessel,"terracotta, black-figure",about 515-500 BCE,Statuary,"https://www.artic.edu/iiif/2/4a81239a-1bb6-d899-03f8-ee4a88e3a8f8/full/600,/0/default.jpg"
CHI_132072,Art Institute of Chicago,Pendant in the Shape of a Head,Costume and Accessories,"Glass, rod-formed technique",5th century-3rd century BCE,Jewellery,"https://www.artic.edu/iiif/2/d4d6a97d-2ff3-cb51-06b6-0580ac0ea349/full/600,/0/default.jpg"
CHI_805,Art Institute of Chicago,Funerary Papyrus of Tayuhenutmut,Painting,Papyrus and pigment,"Third Intermediate Period, probably Dynasty 21 (about 1069-945 BCE)",Reliefs,"https://www.artic.edu/iiif/2/6cb56687-a433-ae6b-ab07-af71dd755ec9/full/600,/0/default.jpg"
CHI_135855,Art Institute of Chicago,Amulet of a Cobra,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/88efa819-0734-3aab-a3c2-91131c8db9d2/full/600,/0/default.jpg"
CHI_183,Art Institute of Chicago,Kantharos (Wine Cup),Vessel,Terracotta with traces of gilding,310-280 BCE,Pottery,"https://www.artic.edu/iiif/2/bde56de2-6202-62ab-dd2b-1018148ba349/full/600,/0/default.jpg"
CHI_140735,Art Institute of Chicago,Amulet of Thoth,Costume and Accessories,Glazed steatite,Ptolemaic Period (332–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/98a96b1d-524f-2d77-355e-f58a8bd4688a/full/600,/0/default.jpg"
CHI_136013,Art Institute of Chicago,Amulet of the Goddesses Isis and Nephthys with Horus Standing Between,Costume and Accessories,Ceramic,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/0c78a10e-9c65-a8a7-f3ea-7ecb315b5c5a/full/600,/0/default.jpg"
CHI_281,Art Institute of Chicago,Stemless Kylix (Drinking Cup),Vessel,"terracotta, black-glaze",460-450 BCE,Pottery,"https://www.artic.edu/iiif/2/6dd1ab27-f9a0-596e-82ea-114d5069b294/full/600,/0/default.jpg"
CHI_166,Art Institute of Chicago,Amphora (Storage Jar),Vessel,"terracotta, red-figure",460-450 BCE,Statuary,"https://www.artic.edu/iiif/2/7605118c-b634-cd1f-2c92-b1406ffb1071/full/600,/0/default.jpg"
CHI_140824,Art Institute of Chicago,Amulet of a Leg and Foot,Costume and Accessories,Carnelian,"Late Old Kingdom–First Intermediate Period, Dynasty 5–11 (about 2494–2055 BCE)",Jewellery,"https://www.artic.edu/iiif/2/91de3c6b-9c19-aeb0-0830-1aab2b928793/full/600,/0/default.jpg"
CHI_136081,Art Institute of Chicago,Amulet of Pataikos,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/b56716ac-17f4-5323-4a52-e465eb2231be/full/600,/0/default.jpg"
CHI_61600,Art Institute of Chicago,Statue of the Aphrodite of Knidos,Sculpture,Marble,2nd century,Statuary,"https://www.artic.edu/iiif/2/aee665f2-bb63-2a25-832e-260b73c278a8/full/600,/0/default.jpg"
CHI_245,Art Institute of Chicago,Oinochoe (Pitcher),Vessel,"terracotta, red-figure",end of 4th century BCE,Statuary,"https://www.artic.edu/iiif/2/229b278b-bbce-c26e-01e6-e33489494317/full/600,/0/default.jpg"
CHI_9978,Art Institute of Chicago,Denarius (Coin) Depicting the God Apollo,Coin,Silver,90 BCE,Unclassified,"https://www.artic.edu/iiif/2/98cf6c06-270f-fe8f-11bd-a26550757966/full/600,/0/default.jpg"
CHI_172,Art Institute of Chicago,Oinochoe (Pitcher),Vessel,"terracotta, Bucchero sottile ware",550-500 BCE,Pottery,"https://www.artic.edu/iiif/2/09690ae8-43b3-4814-793e-af5ce930eea8/full/600,/0/default.jpg"
CHI_136233,Art Institute of Chicago,Amulet of the God Imsety (one of the four Sons of Horus),Costume and Accessories,Glass,"Late Period, Dynasty 25–30 (780–343 BCE)",Jewellery,"https://www.artic.edu/iiif/2/44d4ae9b-2d69-6d73-53e9-7bbd9214c634/full/600,/0/default.jpg"
CHI_64339,Art Institute of Chicago,Coffin and Mummy of Paankhaenamun,Funerary Object,"Cartonnage, gold leaf, pigment, and mummified human remains","Third Intermediate Period, Dynasty 22, reign of Osorkon I (about 924–889 BCE)",Statuary,"https://www.artic.edu/iiif/2/93270aaf-16a5-1604-c6c8-0f3c003eb7a1/full/600,/0/default.jpg"
CHI_253,Art Institute of Chicago,Hydria (Water Jar),Vessel,"terracotta, black-glaze",about 300 BCE,Pottery,"https://www.artic.edu/iiif/2/9af8c354-e223-256b-6aa9-71738010d4d5/full/600,/0/default.jpg"
CHI_135987,Art Institute of Chicago,Amulet of a Crouching Lion,Costume and Accessories,Faience,"Late Period, Dynasty 26 or later (664–525 BCE)",Jewellery,"https://www.artic.edu/iiif/2/14b9ddad-9317-848a-c6d8-71b1a7edc73d/full/600,/0/default.jpg"
CHI_5704,Art Institute of Chicago,Aureus (Coin) Portraying Emperor Gordian III,Coin,Gold,"239 (late July-December), issued by Gordian III",Unclassified,"https://www.artic.edu/iiif/2/dd12344b-a94f-c14e-657a-480088ead7b2/full/600,/0/default.jpg"
CHI_141284,Art Institute of Chicago,Amulet of Taweret,Costume and Accessories,Glass,"New Kingdom, Dynasty 18, reign of Akhenaten (about 1352–1336 BCE)",Jewellery,"https://www.artic.edu/iiif/2/c3730c8f-550e-d2d2-fb2f-16e911c2a850/full/600,/0/default.jpg"
CHI_141158,Art Institute of Chicago,Taweret Amulet,Costume and Accessories,Mosaic glass,"New Kingdom, Dynasty 18, reign of Akhenaten (about 1352–1336 BCE)",Jewellery,"https://www.artic.edu/iiif/2/66d8c857-a7eb-b887-3d45-45eca984ba11/full/600,/0/default.jpg"
CHI_136322,Art Institute of Chicago,Amulet of the God Horus as a Falcon,Costume and Accessories,Faience,Late Period–Ptolemaic Period (664–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/dfcd426e-fd3e-c9e5-e0ab-64d69753a0c0/full/600,/0/default.jpg"
CHI_136011,Art Institute of Chicago,Four Eyes of the God Horus (Wedjat) Amulet,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/6e1c1f90-ad98-cf5a-7291-3391c4589b02/full/600,/0/default.jpg"
CHI_282,Art Institute of Chicago,Miniature Pyxis (Container for Personal Objects),Vessel,"terracotta, with silhouette decoration",300-270 BCE,Pottery,"https://www.artic.edu/iiif/2/99afadf9-919e-6759-64f6-1a23aae8219a/full/600,/0/default.jpg"
CHI_845,Art Institute of Chicago,Fragment of a Necklace,Costume and Accessories,Gold,3rd century,Jewellery,"https://www.artic.edu/iiif/2/051007c3-2ef5-64bf-f7dc-71b123d75e4d/full/600,/0/default.jpg"
CHI_136208,Art Institute of Chicago,Amulet of the Crown of Lower Egypt,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/c9637c22-fc93-1e60-4e5e-0c9bacacadaf/full/600,/0/default.jpg"
CHI_9790,Art Institute of Chicago,Coin Depicting the God Zeus,Coin,Copper,"117-111 BCE, issued by Ptolemy X (Soter II)",Unclassified,"https://www.artic.edu/iiif/2/15b5193c-5abb-a6ad-e861-9769b857c91e/full/600,/0/default.jpg"
CHI_617,Art Institute of Chicago,Statuette of Osiris,Sculpture,Copper alloy,"Late Period, Dynasty 26 or later, 664–332 BCE",Statuary,"https://www.artic.edu/iiif/2/16b0b094-c2a2-94df-fe8b-b67241c9c808/full/600,/0/default.jpg"
CHI_64167,Art Institute of Chicago,"Nephthys, Horus the Child, and Isis Amulet",Costume and Accessories,Faience,"Late Period, Dynasty 26 (664–525 BCE)",Jewellery,"https://www.artic.edu/iiif/2/e5a75f8f-ff96-f6cd-cd09-8a02a092e528/full/600,/0/default.jpg"
CHI_136207,Art Institute of Chicago,Amulet of the Crown of Upper Egypt,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/45bf7787-ab20-46b2-74a3-da7ae0b4c42a/full/600,/0/default.jpg"
CHI_551,Art Institute of Chicago,Shabti of Wahibreemakhet,Funerary Object,Faience,"Late Period, Dynasty 26 (664–525 BCE)",Statuary,"https://www.artic.edu/iiif/2/7065688f-f571-dbd0-9e97-3140c8076a95/full/600,/0/default.jpg"
CHI_10062,Art Institute of Chicago,Antoninianus (Coin) Portraying Mariniana,Coin,Billon,254,Unclassified,"https://www.artic.edu/iiif/2/0cd706ee-b87b-3896-fc55-52c91c979f3c/full/600,/0/default.jpg"
CHI_135832,Art Institute of Chicago,Amulet of Mut and Khonsu,Costume and Accessories,Faience,Third Intermediate Period (about 1069–664 BCE),Jewellery,"https://www.artic.edu/iiif/2/bf78023e-d653-0925-30b9-dde18a421986/full/600,/0/default.jpg"
CHI_140646,Art Institute of Chicago,Double Crown Amulet,Costume and Accessories,Gold,Ptolemaic Period (332–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/8f1f997f-b1d7-f2af-d57d-d6a37ff650c2/full/600,/0/default.jpg"
CHI_532,Art Institute of Chicago,Bottle,Vessel,"Glass, mold-blown",1st century,Pottery,"https://www.artic.edu/iiif/2/69fa6133-2b25-30b8-4234-def11cc9b70e/full/600,/0/default.jpg"
CHI_136031,Art Institute of Chicago,Amulet of a Cobra,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/84a2a8b0-b965-ee9f-2711-64df2d7aa1c7/full/600,/0/default.jpg"
CHI_58135,Art Institute of Chicago,Portrait Head of Emperor Hadrian,Sculpture,Marble,130-138,Statuary,"https://www.artic.edu/iiif/2/4ba54d83-416b-92bf-6098-89ffec76a496/full/600,/0/default.jpg"
CHI_13852,Art Institute of Chicago,Portrait Head of Antinous,Sculpture,Marble,about 130-138,Statuary,"https://www.artic.edu/iiif/2/b3c824b5-b972-ad4d-11c1-61334741129e/full/600,/0/default.jpg"
CHI_5616,Art Institute of Chicago,Aureus (Coin) Portraying Emperor Otho,Coin,Gold,"69 (January-April), issued by Otho",Unclassified,"https://www.artic.edu/iiif/2/d18c2b8e-463a-9903-f96d-f8a01bd0a550/full/600,/0/default.jpg"
CHI_140633,Art Institute of Chicago,Eye of Horus (Wedjat) Amulet,Costume and Accessories,Gold,Ptolemaic Period (305–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/60d71dc9-3f66-3681-b613-53f7101ad72e/full/600,/0/default.jpg"
CHI_135989,Art Institute of Chicago,Amulet of Taweret,Costume and Accessories,Faience,Third Intermediate Period–Late Period (about 1069–332 BCE),Jewellery,"https://www.artic.edu/iiif/2/3a73338b-2740-d6f2-8ad0-ecb9858985b3/full/600,/0/default.jpg"
CHI_56166,Art Institute of Chicago,Relief of a Falling Warrior,Sculpture,Marble,2nd century,Statuary,"https://www.artic.edu/iiif/2/9e4f8394-4072-5915-2eea-e55132035165/full/600,/0/default.jpg"
CHI_84551,Art Institute of Chicago,Bell Krater (Mixing Bowl),Vessel,"terracotta, red-figure",about 450 BCE,Statuary,"https://www.artic.edu/iiif/2/10d782f2-d7e8-4f1d-9779-8302ca35e29e/full/600,/0/default.jpg"
CHI_136201,Art Institute of Chicago,Amulet of a Baboon,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/e0eadd7b-dfd8-f1f3-b47a-b4176e647822/full/600,/0/default.jpg"
CHI_136020,Art Institute of Chicago,Amulet of the God Khnum,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/a6459e4f-3b10-7ed2-0bea-ceea8b850e26/full/600,/0/default.jpg"
CHI_286,Art Institute of Chicago,Portrait Head of a Woman,Sculpture,marble,about 140,Statuary,"https://www.artic.edu/iiif/2/95d7115d-3f78-ce6a-d174-d8f3581c9aa4/full/600,/0/default.jpg"
CHI_840,Art Institute of Chicago,Earring,Costume and Accessories,Glass,"New Kingdom, mid- to late Dynasty 18, about 1400–1295 BCE",Jewellery,"https://www.artic.edu/iiif/2/b5fd789f-fc57-5569-3785-e167d144c054/full/600,/0/default.jpg"
CHI_10019,Art Institute of Chicago,Denarius (Coin) Portraying Emperor Hadrian,Coin,Silver,134-138,Unclassified,"https://www.artic.edu/iiif/2/cf7cdb5b-8b39-f794-2083-fc247cd2aa2e/full/600,/0/default.jpg"
CHI_242,Art Institute of Chicago,Amphora (Storage Jar),Vessel,"terracotta, red-figure",4th century BCE,Statuary,"https://www.artic.edu/iiif/2/de7d5700-4efc-ae3b-0e32-614df31d5cbc/full/600,/0/default.jpg"
CHI_159136,Art Institute of Chicago,Portrait Bust of a Woman,Sculpture,Marble,Mid–2nd century,Statuary,"https://www.artic.edu/iiif/2/34133244-99a5-246f-c72f-76f32e55d253/full/600,/0/default.jpg"
CHI_487,Art Institute of Chicago,Ushabti (Funerary Figurine) of Horudja,Funerary Object,Faience,"Late Period, Dynasty 30 (380–343 BCE)",Statuary,"https://www.artic.edu/iiif/2/66a4e017-96f3-52ac-90cd-33f5657a613d/full/600,/0/default.jpg"
CHI_9655,Art Institute of Chicago,Tetradrachm (Coin) Depicting the Goddess Athena,Coin,Silver,about 163 BCE,Unclassified,"https://www.artic.edu/iiif/2/c1691eb7-517e-6d06-987d-dbd9a87d0826/full/600,/0/default.jpg"
CHI_140632,Art Institute of Chicago,Eye of Horus (Wedjat) Amulet,Costume and Accessories,Gold,Ptolemaic Period (305–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/a7201277-3d63-167c-c18e-d87e35a8b6ae/full/600,/0/default.jpg"
CHI_10083,Art Institute of Chicago,Dupondius (Coin) Portraying Germanicus Caesar,Coin,Bronze,15 BCE-19 CE,Statuary,"https://www.artic.edu/iiif/2/09c7e9d9-7c3e-fe62-d236-108d44710612/full/600,/0/default.jpg"
CHI_140945,Art Institute of Chicago,Amulet of a Necklace Counter Weight,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/320ede24-3089-5550-1a24-dffbfac41dba/full/600,/0/default.jpg"
CHI_140858,Art Institute of Chicago,Amulet of a Leg and Foot,Costume and Accessories,Carnelian,"Late Old Kingdom–First Intermediate Period, Dynasty 5–11 (about 2494–2055 BCE)",Jewellery,"https://www.artic.edu/iiif/2/750d06d7-b80a-ac0e-a99d-bfe3dfdc94e6/full/600,/0/default.jpg"
CHI_52198,Art Institute of Chicago,Belly-Amphora (Storage Jar),Vessel,"terracotta, black-figure",550-540 BCE,Statuary,"https://www.artic.edu/iiif/2/890944df-3646-9db0-f1ce-b8321fd40e89/full/600,/0/default.jpg"
CHI_136025,Art Institute of Chicago,Amulet of the God Anubis,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/ff8e8a69-a6e4-566e-e67c-8a1f2ce9a16b/full/600,/0/default.jpg"
CHI_10006,Art Institute of Chicago,Aureus (Coin) Portraying Emperor Antoninus Pius,Coin,Gold,138,Unclassified,"https://www.artic.edu/iiif/2/fd035801-bbfd-7265-97af-1e36113b284a/full/600,/0/default.jpg"
CHI_317,Art Institute of Chicago,Lekythos (Oil Jar),Vessel,"terracotta, black-glaze",about 400 BCE,Pottery,"https://www.artic.edu/iiif/2/2cc02688-d6b2-d7ea-fa2e-d461330abceb/full/600,/0/default.jpg"
CHI_9739,Art Institute of Chicago,Tetradrachm (Coin) Portraying Demetrius II Nikator of Syria,Coin,Silver,"130-129 BCE, Reign of Demetrius II Nikator of Syria, 145–139 BCE and 129–125 BCE",Unclassified,"https://www.artic.edu/iiif/2/7dd34b75-a1dc-bb84-5b27-8c4a5bd89665/full/600,/0/default.jpg"
CHI_259,Art Institute of Chicago,Skyphos (Drinking Cup),Vessel,terracotta,450-400 BCE,Pottery,"https://www.artic.edu/iiif/2/1fbb10a8-4a6c-925d-f2c1-2aa96261b3bf/full/600,/0/default.jpg"
CHI_52201,Art Institute of Chicago,Statuette of a Female Figure,Sculpture,Marble,"Early Bronze Age, 2600–2400 BCE",Statuary,"https://www.artic.edu/iiif/2/40d398a0-ba23-3254-c1f3-50d4fb3b9084/full/600,/0/default.jpg"
CHI_246,Art Institute of Chicago,Oinochoe (Pitcher),Vessel,"terracotta, red-figure",end of 4th century BCE,Statuary,"https://www.artic.edu/iiif/2/44abac03-4d36-aac6-f44e-ffe1d57dfb03/full/600,/0/default.jpg"
CHI_140726,Art Institute of Chicago,Amulet of Pataikos,Costume and Accessories,Ceramic,"Third Intermediate Period–Late Period, Dynasty 25–31 (8th–4th century BCE)",Jewellery,"https://www.artic.edu/iiif/2/1e24eba8-2684-69af-780c-e153552812fb/full/600,/0/default.jpg"
CHI_140839,Art Institute of Chicago,Eye of Horus (Wedjat) Amulet,Costume and Accessories,Faience,Ptolemaic Period (305–30 BCE),Jewellery,"https://www.artic.edu/iiif/2/f1dd54e2-f18b-fb0f-93f9-971d695b3630/full/600,/0/default.jpg"
CHI_136204,Art Institute of Chicago,Amulet of a Hare,Costume and Accessories,Faience,"Third Intermediate Period, Dynasty 21–25 (1070–656 BCE)",Jewellery,"https://www.artic.edu/iiif/2/1a1ddcd7-c200-a7be-a0d7-84bbb1f7d7f6/full/600,/0/default.jpg"
